,City,Cloudiness,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
0,saint-joseph,70,1572895780,87,43.56,6.97,17.22,2.6
1,tasiilaq,100,1572895781,86,65.61,-37.64,-1.0,5.1
2,lompoc,1,1572895781,26,34.64,-120.46,24.0,2.6
3,arraial do cabo,22,1572895781,69,-22.97,-42.02,30.0,5.7
4,tineo,40,1572895782,71,43.34,-6.41,12.78,6.2
5,ballina,75,1572895782,93,54.11,-9.15,11.67,3.6
6,shingu,0,1572895783,61,33.72,135.99,13.36,2.95
7,kapaa,90,1572895587,94,22.08,-159.32,24.0,3.1
8,pisco,99,1572895783,30,-13.71,-76.2,22.0,9.3
9,kodiak,90,1572895784,53,39.95,-94.76,10.0,4.1
10,sao filipe,67,1572895784,60,14.9,-24.5,27.33,4.45
11,caravelas,3,1572895784,56,-17.73,-39.27,31.14,5.95
12,cape town,57,1572895784,77,-33.93,18.42,20.56,4.6
13,rikitea,100,1572895547,92,-23.12,-134.97,24.03,5.74
14,kavieng,100,1572895785,89,-2.57,150.8,25.41,13.58
15,ostrovnoy,75,1572895785,84,68.05,39.51,-5.57,11.89
16,aljustrel,75,1572895785,100,37.88,-8.16,16.11,4.1
17,iqaluit,75,1572895618,79,63.75,-68.52,-6.0,2.6
18,ushuaia,75,1572895304,87,-54.81,-68.31,9.0,11.3
19,victoria,75,1572895565,88,5.28,115.24,26.0,1.0
20,atbasar,99,1572895786,92,51.81,68.36,-3.71,5.26
21,bredasdorp,50,1572895786,72,-34.53,20.04,18.89,6.7
22,atuona,2,1572895787,75,-9.8,-139.03,26.92,7.63
23,denpasar,20,1572895655,94,-8.65,115.22,25.0,0.5
24,sambava,1,1572895787,95,-14.27,50.17,21.43,1.06
25,temnikov,100,1572895787,73,54.63,43.21,4.32,5.8
26,ewo,100,1572895788,87,-0.88,14.81,23.59,1.41
27,bowen,40,1572895788,93,-20.01,148.25,20.0,2.1
28,fukue,20,1572895788,54,35.03,136.69,13.0,6.7
29,mataura,100,1572895788,61,-46.19,168.86,16.67,2.68
30,tautira,40,1572895788,83,-17.73,-149.15,27.0,4.1
31,povenets,9,1572895789,92,62.85,34.83,-7.6,2.0
32,garden city,1,1572895789,34,43.62,-116.24,12.78,1.54
33,jamestown,0,1572895667,95,-33.21,138.6,4.73,1.63
34,vaini,82,1572895789,90,15.34,74.49,21.58,0.18
